City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
501,meadow lake,34.8014,-106.5436,33.71,22,94,8.68,US,1689905869
502,sabang,5.8933,95.3214,28.6,72,100,8.62,ID,1689905870
503,marco island,25.9363,-81.7157,31.0,89,20,3.17,US,1689905870
504,nova xavantina,-14.6667,-52.35,21.43,38,7,1.56,BR,1689905871
505,vilyuysk,63.7553,121.6247,22.56,46,60,3.26,RU,1689905871
506,hua hin,12.5707,99.9588,27.01,78,40,2.06,TH,1689905871
507,teshi old town,5.5836,-0.1072,24.82,86,52,4.55,GH,1689905872
508,lagoa,39.05,-27.9833,20.57,88,100,3.27,PT,1689905872
509,el calafate,-50.3408,-72.2768,0.94,96,100,2.4,AR,1689905872
510,butajira,8.1167,38.3667,15.31,90,100,1.28,ET,1689905873
511,katsuura,35.1333,140.3,26.35,74,35,5.7,JP,1689905873
512,pasuquin,18.3328,120.6177,30.97,74,20,2.57,PH,1689905873
513,minas de marcona,-15.2119,-75.1103,13.26,83,52,4.65,PE,1689905874
514,shevchenko,48.5,35.0,17.49,97,98,2.11,UA,1689905874
515,nar'yan-mar,67.6713,53.087,12.52,92,100,5.44,RU,1689905874
516,undurkhaan,47.3194,110.6556,20.15,54,100,7.57,MN,1689905875
517,coquimbo,-29.9533,-71.3436,13.85,88,100,1.54,CL,1689905875
518,ilebo,-4.3167,20.5833,23.33,47,30,0.98,CD,1689905876
519,languyan,5.2618,120.0807,28.47,81,100,2.47,PH,1689905876
520,katsuren-haebaru,26.3369,127.8719,32.43,64,40,3.6,JP,1689905876
521,fonte boa,-2.4959,-66.2662,24.83,83,55,0.73,BR,1689905877
522,ostersund,63.1792,14.6357,10.34,37,100,6.69,SE,1689905877
523,arteche,12.2645,125.4048,30.51,65,88,0.64,PH,1689905877
524,lagos,6.5833,3.75,24.23,93,97,2.31,NG,1689905215
525,beni,0.5,29.4667,16.09,95,99,0.98,CD,1689905878
526,prince rupert,54.3161,-130.3201,16.83,90,0,1.54,CA,1689905712
527,maardu,59.4767,25.025,11.45,94,20,3.09,EE,1689905776
528,mikhaylovsk,45.1283,42.0256,17.12,63,0,3.13,RU,1689905879
529,boguchany,58.3814,97.4531,25.47,35,1,2.13,RU,1689905879
530,cascais,38.6979,-9.4215,20.63,82,1,4.47,PT,1689905880
531,tyukhtet,56.5389,89.3011,20.55,71,100,2.41,RU,1689905880
532,nago,26.5881,127.9761,32.47,66,94,1.94,JP,1689905881
533,gizo,-8.103,156.8419,27.48,83,90,8.14,SB,1689905881
534,aswan,24.0934,32.907,32.61,17,0,2.57,EG,1689905881
535,morondava,-20.2833,44.2833,21.15,59,0,4.74,MG,1689905882
536,la passe,45.5549,-0.8967,17.77,81,0,4.25,FR,1689905882
537,pandan,14.0453,124.1694,30.1,69,46,1.08,PH,1689905883
538,ust-tsilma,65.441,52.1498,17.71,93,59,1.9,RU,1689905883
539,perryville,37.7242,-89.8612,28.44,94,0,1.54,US,1689905884
540,luderitz,-26.6481,15.1594,14.23,48,0,1.32,NA,1689905884
541,colonia,50.9333,6.95,16.65,85,0,1.54,DE,1689905604
542,santa ana,33.7456,-117.8678,36.89,50,0,2.06,US,1689905620
543,vega de alatorre,20.0333,-96.6333,27.73,80,22,2.86,MX,1689905885
544,martuk,50.7475,56.5056,18.57,58,56,3.35,KZ,1689905886
545,urangan,-25.3,152.9,19.31,63,0,4.0,AU,1689905886
546,daura,11.5538,11.4085,23.78,78,89,3.22,NG,1689905886
547,yallahs,17.8748,-76.5624,28.21,89,39,5.47,JM,1689905887
548,pacific grove,36.6177,-121.9166,24.8,87,75,4.12,US,1689905887
549,karatuzskoye,53.6072,92.8667,21.56,70,100,2.29,RU,1689905888
550,ferkessedougou,9.6,-5.2,24.34,82,62,3.04,CI,1689905888
551,chaah,2.249,103.048,27.45,86,98,1.5,MY,1689905888
